GeneID	GeneSymbol	Alias	Links	Cytoband	FullName	GeneType
5925	RB1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	MIM:614041|HGNC:HGNC:9884|Ensembl:ENSG00000139687|Vega:OTTHUMG00000016900	13q14.2	RB transcriptional corepressor 1	protein-coding
5781	PTPN11	BPTP3|CFC|JMML|METCDS|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2	MIM:176876|HGNC:HGNC:9644|Ensembl:ENSG00000179295|Vega:OTTHUMG00000134334	12q24.13	protein tyrosine phosphatase, non-receptor type 11	protein-coding
574444	MIR491	MIRN491|hsa-mir-491|mir-491	HGNC:HGNC:32076|Ensembl:ENSG00000207609|miRBase:MI0003126	9p21.3	microRNA 491	ncRNA
574436	MIR485	MIRN485|hsa-mir-485|mir-485	MIM:615385|HGNC:HGNC:32067|Ensembl:ENSG00000208027|miRBase:MI0002469	14q32.31	microRNA 485	ncRNA
57214	CEMIP	CCSP1|HYBID|KIAA1199|TMEM2L	MIM:608366|HGNC:HGNC:29213|Ensembl:ENSG00000103888|Vega:OTTHUMG00000144184	15q25.1	cell migration inducing hyaluronan binding protein	protein-coding
57167	SALL4	DRRS|HSAL4|ZNF797	MIM:607343|HGNC:HGNC:15924|Ensembl:ENSG00000101115|Vega:OTTHUMG00000032752	20q13.2	spalt like transcription factor 4	protein-coding
56649	TMPRSS4	CAPH2|MT-SP2|TMPRSS3	MIM:606565|HGNC:HGNC:11878|Ensembl:ENSG00000137648|Vega:OTTHUMG00000164122	11q23.3	transmembrane protease, serine 4	protein-coding
5599	MAPK8	JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c	MIM:601158|HGNC:HGNC:6881|Ensembl:ENSG00000107643|Vega:OTTHUMG00000018172	10q11.22	mitogen-activated protein kinase 8	protein-coding
5578	PRKCA	AAG6|PKC-alpha|PKCA|PRKACA	MIM:176960|HGNC:HGNC:9393|Ensembl:ENSG00000154229|Vega:OTTHUMG00000179533	17q24.2	protein kinase C alpha	protein-coding
55384	MEG3	FP504|GTL2|LINC00023|NCRNA00023|PRO0518|PRO2160|onco-lncRNA-83|prebp1	MIM:605636|HGNC:HGNC:14575|Ensembl:ENSG00000214548	14q32.2	maternally expressed 3 (non-protein coding)	ncRNA
55000	TUG1	LINC00080|NCRNA00080|TI-227H	MIM:614971|HGNC:HGNC:26066	22q12.2	taurine up-regulated 1 (non-protein coding)	ncRNA
54910	SEMA4C	M-SEMA-F|SEMACL1|SEMAF|SEMAI	MIM:604462|HGNC:HGNC:10731|Ensembl:ENSG00000168758|Vega:OTTHUMG00000130535	2q11.2	semaphorin 4C	protein-coding
5300	PIN1	DOD|UBL5	MIM:601052|HGNC:HGNC:8988|Ensembl:ENSG00000127445|Vega:OTTHUMG00000180388	19p13.2	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	protein-coding
5228	PGF	D12S1900|PGFL|PIGF|PLGF|PlGF-2|SHGC-10760	MIM:601121|HGNC:HGNC:8893|Ensembl:ENSG00000119630|Vega:OTTHUMG00000171496	14q24.3	placental growth factor	protein-coding
5176	SERPINF1	EPC-1|OI12|OI6|PEDF|PIG35	MIM:172860|HGNC:HGNC:8824|Ensembl:ENSG00000132386|Vega:OTTHUMG00000090571	17p13.3	serpin family F member 1	protein-coding
51280	GOLM1	C9orf155|GOLPH2|GP73|HEL46|PSEC0257|bA379P1.3	MIM:606804|HGNC:HGNC:15451|Ensembl:ENSG00000135052|Vega:OTTHUMG00000020130	9q21.33	golgi membrane protein 1	protein-coding
5074	PAWR	PAR4|Par-4	MIM:601936|HGNC:HGNC:8614|Ensembl:ENSG00000177425|Vega:OTTHUMG00000170080	12q21.2	pro-apoptotic WT1 regulator	protein-coding
494324	MIR375	MIRN375|hsa-mir-375|miRNA375|mir-375	MIM:611173|HGNC:HGNC:31868|Ensembl:ENSG00000198973|miRBase:MI0000783	2q35	microRNA 375	ncRNA
494323	MIR361	MIRN361|hsa-mir-361|mir-361	HGNC:HGNC:31867|Ensembl:ENSG00000199051|miRBase:MI0000760	Xq21.2	microRNA 361	ncRNA
4838	NODAL	HTX5	MIM:601265|HGNC:HGNC:7865|Ensembl:ENSG00000156574|Vega:OTTHUMG00000018408	10q22.1	nodal growth differentiation factor	protein-coding
472	ATM	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	MIM:607585|HGNC:HGNC:795|Ensembl:ENSG00000149311|Vega:OTTHUMG00000166480	11q22.3	ATM serine/threonine kinase	protein-coding
4585	MUC4	ASGP|HSA276359|MUC-4	MIM:158372|HGNC:HGNC:7514|Ensembl:ENSG00000145113|Vega:OTTHUMG00000151827	3q29	mucin 4, cell surface associated	protein-coding
4316	MMP7	MMP-7|MPSL1|PUMP-1	MIM:178990|HGNC:HGNC:7174|Ensembl:ENSG00000137673|Vega:OTTHUMG00000048193	11q22.2	matrix metallopeptidase 7	protein-coding
4303	FOXO4	AFX|AFX1|MLLT7	MIM:300033|HGNC:HGNC:7139|Ensembl:ENSG00000184481|Vega:OTTHUMG00000021789	Xq13.1	forkhead box O4	protein-coding
4216	MAP3K4	MAPKKK4|MEKK 4|MEKK4|MTK1|PRO0412	MIM:602425|HGNC:HGNC:6856|Ensembl:ENSG00000085511|Vega:OTTHUMG00000015968	6q26	mitogen-activated protein kinase kinase kinase 4	protein-coding
4215	MAP3K3	MAPKKK3|MEKK3	MIM:602539|HGNC:HGNC:6855|Ensembl:ENSG00000198909|Vega:OTTHUMG00000178905	17q23.3	mitogen-activated protein kinase kinase kinase 3	protein-coding
4193	MDM2	ACTFS|HDMX|hdm2	MIM:164785|HGNC:HGNC:6973|Ensembl:ENSG00000135679|Vega:OTTHUMG00000142827	12q15	MDM2 proto-oncogene	protein-coding
407053	MIR96	DFNA50|MIRN96|hsa-mir-96|miR-96|miRNA96	MIM:611606|HGNC:HGNC:31648|Ensembl:ENSG00000199158|miRBase:MI0000098	7q32.2	microRNA 96	ncRNA
407035	MIR31	MIRN31|hsa-mir-31|miR-31	MIM:612155|HGNC:HGNC:31630|Ensembl:ENSG00000199177|miRBase:MI0000089	9p21.3	microRNA 31	ncRNA
407007	MIR222	MIRN222|miRNA222|mir-222	MIM:300569|HGNC:HGNC:31602|Ensembl:ENSG00000207725|miRBase:MI0000299	Xp11.3	microRNA 222	ncRNA
407000	MIR218-1	MIRN218-1|mir-218-1	MIM:616770|HGNC:HGNC:31595|Ensembl:ENSG00000207732|miRBase:MI0000294	4p15.31	microRNA 218-1	ncRNA
406995	MIR181A1	MIR213|MIRN181A1|MIRN213|hsa-mir-181a-1|mir-181a-1|mir-213	MIM:612742|HGNC:HGNC:31590|Ensembl:ENSG00000207759|miRBase:MI0000289	1q32.1	microRNA 181a-1	ncRNA
406969	MIR194-1	MIRN194-1|mir-194-1	MIM:610940|HGNC:HGNC:31564|Ensembl:ENSG00000207624|miRBase:MI0000488	1q41	microRNA 194-1	ncRNA
406961	MIR185	MIRN185|miR-185	MIM:615576|HGNC:HGNC:31556|Ensembl:ENSG00000208023|miRBase:MI0000482	22q11.21	microRNA 185	ncRNA
406958	MIR182	MIRN182|miRNA182|mir-182	MIM:611607|HGNC:HGNC:31553|Ensembl:ENSG00000207990|miRBase:MI0000272	7q32.2	microRNA 182	ncRNA
406954	MIR181A2	MIRN181A|MIRN181A2|hsa-mir-181a-2|mir-181a-2	MIM:612743|HGNC:HGNC:31549|Ensembl:ENSG00000207595|miRBase:MI0000269	9q33.3	microRNA 181a-2	ncRNA
406952	MIR17	MIR17-5p|MIR91|MIRN17|MIRN91|hsa-mir-17|miR-17|miR17-3p|miRNA17|miRNA91	MIM:609416|HGNC:HGNC:31547|Ensembl:ENSG00000284536|miRBase:MI0000071	13q31.3	microRNA 17	ncRNA
406935	MIR143	MIRN143|mir-143	MIM:612117|HGNC:HGNC:31530|Ensembl:ENSG00000284182|miRBase:MI0000459	5q32	microRNA 143	ncRNA
406919	MIR130A	MIRN130A|miRNA130A|mir-130a	MIM:610175|HGNC:HGNC:31514|Ensembl:ENSG00000208009|miRBase:MI0000448	11q12.1	microRNA 130a	ncRNA
406915	MIR128-1	MIR128A|MIRN128-1|MIRN128A|mir-128-1	MIM:611774|HGNC:HGNC:31510|Ensembl:ENSG00000207654|miRBase:MI0000447	2q21.3	microRNA 128-1	ncRNA
406902	MIR10A	MIRN10A|hsa-mir-10a|miRNA10A|mir-10a	MIM:610173|HGNC:HGNC:31497|Ensembl:ENSG00000284038|miRBase:MI0000266	17q21.32	microRNA 10a	ncRNA
3726	JUNB	AP-1	MIM:165161|HGNC:HGNC:6205|Ensembl:ENSG00000171223|Vega:OTTHUMG00000180373	19p13.13	JunB proto-oncogene, AP-1 transcription factor subunit	protein-coding
3678	ITGA5	CD49e|FNRA|VLA-5|VLA5A	MIM:135620|HGNC:HGNC:6141|Ensembl:ENSG00000161638|Vega:OTTHUMG00000169841	12q13.13	integrin subunit alpha 5	protein-coding
3490	IGFBP7	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF	MIM:602867|HGNC:HGNC:5476|Ensembl:ENSG00000163453|Vega:OTTHUMG00000128772	4q12	insulin like growth factor binding protein 7	protein-coding
3315	HSPB1	CMT2F|HEL-S-102|HMN2B|HS.76067|HSP27|HSP28|Hsp25|SRP27	MIM:602195|HGNC:HGNC:5246|Ensembl:ENSG00000106211|Vega:OTTHUMG00000023228	7q11.23	heat shock protein family B (small) member 1	protein-coding
3308	HSPA4	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	MIM:601113|HGNC:HGNC:5237|Ensembl:ENSG00000170606|Vega:OTTHUMG00000129012	5q31.1	heat shock protein family A (Hsp70) member 4	protein-coding
3217	HOXB7	HHO.C1|HOX2|HOX2C|Hox-2.3	MIM:142962|HGNC:HGNC:5118|Ensembl:ENSG00000260027|Vega:OTTHUMG00000170231	17q21.32	homeobox B7	protein-coding
3170	FOXA2	HNF3B|TCF3B	MIM:600288|HGNC:HGNC:5022|Ensembl:ENSG00000125798|Vega:OTTHUMG00000191876	20p11.21	forkhead box A2	protein-coding
3162	HMOX1	HMOX1D|HO-1|HSP32|bK286B10	MIM:141250|HGNC:HGNC:5013|Ensembl:ENSG00000100292|Vega:OTTHUMG00000150960	22q12.3	heme oxygenase 1	protein-coding
3068	HDGF	HMG1L2	MIM:600339|HGNC:HGNC:4856|Ensembl:ENSG00000143321|Vega:OTTHUMG00000041295	1q23.1	heparin binding growth factor	protein-coding
3037	HAS2	-	MIM:601636|HGNC:HGNC:4819|Ensembl:ENSG00000170961|Vega:OTTHUMG00000164953	8q24.13	hyaluronan synthase 2	protein-coding
29843	SENP1	SuPr-2	MIM:612157|HGNC:HGNC:17927|Ensembl:ENSG00000079387|Vega:OTTHUMG00000169896	12q13.11	SUMO1/sentrin specific peptidase 1	protein-coding
28984	RGCC	C13orf15|RGC-32|RGC32|bA157L14.2	MIM:610077|HGNC:HGNC:20369|Ensembl:ENSG00000102760|Vega:OTTHUMG00000016796	13q14.11	regulator of cell cycle	protein-coding
283131	NEAT1	LINC00084|NCRNA00084|TncRNA|VINC	MIM:612769|HGNC:HGNC:30815|Ensembl:ENSG00000245532	11q13.1	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
2719	GPC3	DGSX|GTR2-2|MXR7|OCI-5|SDYS|SGB|SGBS|SGBS1	MIM:300037|HGNC:HGNC:4451|Ensembl:ENSG00000147257|Vega:OTTHUMG00000022448	Xq26.2	glypican 3	protein-coding
23326	USP22	USP3L	MIM:612116|HGNC:HGNC:12621|Ensembl:ENSG00000124422|Vega:OTTHUMG00000133621	17p11.2	ubiquitin specific peptidase 22	protein-coding
2308	FOXO1	FKH1|FKHR|FOXO1A	MIM:136533|HGNC:HGNC:3819|Ensembl:ENSG00000150907|Vega:OTTHUMG00000016775	13q14.11	forkhead box O1	protein-coding
22943	DKK1	DKK-1|SK	MIM:605189|HGNC:HGNC:2891|Ensembl:ENSG00000107984|Vega:OTTHUMG00000018247	10q21.1	dickkopf WNT signaling pathway inhibitor 1	protein-coding
2202	EFEMP1	DHRD|DRAD|FBLN3|FBNL|FIBL-3|MLVT|MTLV|S1-5	MIM:601548|HGNC:HGNC:3218|Ensembl:ENSG00000115380|Vega:OTTHUMG00000129343	2p16.1	EGF containing fibulin like extracellular matrix protein 1	protein-coding
220001	VWCE	URG11|VWC1	MIM:611115|HGNC:HGNC:26487|Ensembl:ENSG00000167992|Vega:OTTHUMG00000168208	11q12.2	von Willebrand factor C and EGF domains	protein-coding
2149	F2R	CF2R|HTR|PAR-1|PAR1|TR	MIM:187930|HGNC:HGNC:3537|Ensembl:ENSG00000181104|Vega:OTTHUMG00000131299	5q13.3	coagulation factor II thrombin receptor	protein-coding
2001	ELF5	ESE2	MIM:605169|HGNC:HGNC:3320|Ensembl:ENSG00000135374|Vega:OTTHUMG00000166451	11p13	E74 like ETS transcription factor 5	protein-coding
1969	EPHA2	ARCC2|CTPA|CTPP1|CTRCT6|ECK	MIM:176946|HGNC:HGNC:3386|Ensembl:ENSG00000142627|Vega:OTTHUMG00000009527	1p36.13	EPH receptor A2	protein-coding
1906	EDN1	ARCND3|ET1|HDLCQ7|PPET1|QME	MIM:131240|HGNC:HGNC:3176|Ensembl:ENSG00000078401|Vega:OTTHUMG00000014266	6p24.1	endothelin 1	protein-coding
182	JAG1	AGS|AGS1|AHD|AWS|CD339|HJ1|JAGL1	MIM:601920|HGNC:HGNC:6188|Ensembl:ENSG00000101384|Vega:OTTHUMG00000031872	20p12.2	jagged 1	protein-coding
1746	DLX2	TES-1|TES1	MIM:126255|HGNC:HGNC:2915|Ensembl:ENSG00000115844|Vega:OTTHUMG00000132276	2q31.1	distal-less homeobox 2	protein-coding
1514	CTSL	CATL|CTSL1|MEP	MIM:116880|HGNC:HGNC:2537|Ensembl:ENSG00000135047|Vega:OTTHUMG00000020149	9q21.33	cathepsin L	protein-coding
142	PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	MIM:173870|HGNC:HGNC:270|Ensembl:ENSG00000143799|Vega:OTTHUMG00000037556	1q42.12	poly(ADP-ribose) polymerase 1	protein-coding
1399	CRKL	-	MIM:602007|HGNC:HGNC:2363|Ensembl:ENSG00000099942|Vega:OTTHUMG00000150807	22q11.21	CRK like proto-oncogene, adaptor protein	protein-coding
10979	FERMT2	KIND2|MIG2|PLEKHC1|UNC112|UNC112B|mig-2	MIM:607746|HGNC:HGNC:15767|Ensembl:ENSG00000073712|Vega:OTTHUMG00000140309	14q22.1	fermitin family member 2	protein-coding
10628	TXNIP	ARRDC6|EST01027|HHCPA78|THIF|VDUP1	MIM:606599|HGNC:HGNC:16952|Ensembl:ENSG00000265972|Vega:OTTHUMG00000013755	1q21.1	thioredoxin interacting protein	protein-coding
10253	SPRY2	IGAN3|hSPRY2	MIM:602466|HGNC:HGNC:11270|Ensembl:ENSG00000136158|Vega:OTTHUMG00000017140	13q31.1	sprouty RTK signaling antagonist 2	protein-coding
102	ADAM10	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	MIM:602192|HGNC:HGNC:188|Ensembl:ENSG00000137845|Vega:OTTHUMG00000132633	15q21.3	ADAM metallopeptidase domain 10	protein-coding
10155	TRIM28	KAP1|PPP1R157|RNF96|TF1B|TIF1B	MIM:601742|HGNC:HGNC:16384|Ensembl:ENSG00000130726|Vega:OTTHUMG00000183546	19q13.43	tripartite motif containing 28	protein-coding
10135	NAMPT	1110035O14Rik|PBEF|PBEF1|VF|VISFATIN	MIM:608764|HGNC:HGNC:30092|Ensembl:ENSG00000105835|Vega:OTTHUMG00000140388	7q22.3	nicotinamide phosphoribosyltransferase	protein-coding
100302203	MIR1271	MIRN1271|hsa-mir-1271	HGNC:HGNC:35252|Ensembl:ENSG00000221464|miRBase:MI0003814	5q35.2	microRNA 1271	ncRNA
10013	HDAC6	CPBHM|HD6|JM21|PPP1R90	MIM:300272|HGNC:HGNC:14064|Ensembl:ENSG00000094631|Vega:OTTHUMG00000034496	Xp11.23	histone deacetylase 6	protein-coding
10009	ZBTB33	ZNF-kaiso|ZNF348	MIM:300329|HGNC:HGNC:16682|Ensembl:ENSG00000177485|Vega:OTTHUMG00000171159	Xq24	zinc finger and BTB domain containing 33	protein-coding
998	CDC42	CDC42Hs|G25K|TKS	MIM:116952|HGNC:HGNC:1736|Ensembl:ENSG00000070831|Vega:OTTHUMG00000002753	1p36.12	cell division cycle 42	protein-coding
9953	HS3ST3B1	3-OST-3B|3OST3B1|h3-OST-3B	MIM:604058|HGNC:HGNC:5198|Ensembl:ENSG00000125430|Vega:OTTHUMG00000058810	17p12	heparan sulfate-glucosamine 3-sulfotransferase 3B1	protein-coding
9869	SETDB1	ESET|H3-K9-HMTase4|KG1T|KMT1E|TDRD21	MIM:604396|HGNC:HGNC:10761|Ensembl:ENSG00000143379|Vega:OTTHUMG00000035003	1q21.3	SET domain bifurcated 1	protein-coding
9759	HDAC4	AHO3|BDMR|HA6116|HD4|HDAC-4|HDAC-A|HDACA	MIM:605314|HGNC:HGNC:14063|Ensembl:ENSG00000068024|Vega:OTTHUMG00000133344	2q37.3	histone deacetylase 4	protein-coding
9690	UBE3C	HECTH2	MIM:614454|HGNC:HGNC:16803|Ensembl:ENSG00000009335|Vega:OTTHUMG00000157239	7q36.3	ubiquitin protein ligase E3C	protein-coding
9531	BAG3	BAG-3|BIS|CAIR-1|MFM6	MIM:603883|HGNC:HGNC:939|Ensembl:ENSG00000151929|Vega:OTTHUMG00000019155	10q26.11	BCL2 associated athanogene 3	protein-coding
9500	MAGED1	DLXIN-1|NRAGE	MIM:300224|HGNC:HGNC:6813|Ensembl:ENSG00000179222|Vega:OTTHUMG00000021540	Xp11.22	MAGE family member D1	protein-coding
948	CD36	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	MIM:173510|HGNC:HGNC:1663|Ensembl:ENSG00000135218|Vega:OTTHUMG00000155383	7q21.11	CD36 molecule	protein-coding
9429	ABCG2	ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|EST157481|GOUT1|MRX|MXR|MXR-1|MXR1|UAQTL1	MIM:603756|HGNC:HGNC:74|Ensembl:ENSG00000118777|Vega:OTTHUMG00000130601	4q22.1	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding
9423	NTN1	NTN1L	MIM:601614|HGNC:HGNC:8029|Ensembl:ENSG00000065320|Vega:OTTHUMG00000130257	17p13.1	netrin 1	protein-coding
9370	ADIPOQ	ACDC|ACRP30|ADIPQTL1|ADPN|APM-1|APM1|GBP28	MIM:605441|HGNC:HGNC:13633|Ensembl:ENSG00000181092|Vega:OTTHUMG00000156521	3q27.3	adiponectin, C1Q and collagen domain containing	protein-coding
9025	RNF8	hRNF8	MIM:611685|HGNC:HGNC:10071|Ensembl:ENSG00000112130|Vega:OTTHUMG00000014620	6p21.2	ring finger protein 8	protein-coding
90	ACVR1	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	MIM:102576|HGNC:HGNC:171|Ensembl:ENSG00000115170|Vega:OTTHUMG00000131967	2q24.1	activin A receptor type 1	protein-coding
890	CCNA2	CCN1|CCNA	MIM:123835|HGNC:HGNC:1578|Ensembl:ENSG00000145386|Vega:OTTHUMG00000133072	4q27	cyclin A2	protein-coding
8878	SQSTM1	A170|DMRV|FTDALS3|NADGP|OSIL|PDB3|ZIP3|p60|p62|p62B	MIM:601530|HGNC:HGNC:11280|Ensembl:ENSG00000161011|Vega:OTTHUMG00000150643	5q35.3	sequestosome 1	protein-coding
8877	SPHK1	SPHK	MIM:603730|HGNC:HGNC:11240|Ensembl:ENSG00000176170|Vega:OTTHUMG00000180177	17q25.1	sphingosine kinase 1	protein-coding
8841	HDAC3	HD3|RPD3|RPD3-2	MIM:605166|HGNC:HGNC:4854|Ensembl:ENSG00000171720|Vega:OTTHUMG00000129629	5q31.3	histone deacetylase 3	protein-coding
8838	WISP3	CCN6|LIBC|PPAC|PPD|WISP-3	MIM:603400|HGNC:HGNC:12771|Ensembl:ENSG00000112761|Vega:OTTHUMG00000185101	6q21	WNT1 inducible signaling pathway protein 3	protein-coding
8828	NRP2	NP2|NPN2|PRO2714|VEGF165R2	MIM:602070|HGNC:HGNC:8005|Ensembl:ENSG00000118257|Vega:OTTHUMG00000132893	2q33.3	neuropilin 2	protein-coding
864	RUNX3	AML2|CBFA3|PEBP2aC	MIM:600210|HGNC:HGNC:10473|Ensembl:ENSG00000020633|Vega:OTTHUMG00000003316	1p36.11	runt related transcription factor 3	protein-coding
8614	STC2	STC-2|STCRP	MIM:603665|HGNC:HGNC:11374|Ensembl:ENSG00000113739|Vega:OTTHUMG00000130542	5q35.2	stanniocalcin 2	protein-coding
861	RUNX1	AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha	MIM:151385|HGNC:HGNC:10471|Ensembl:ENSG00000159216|Vega:OTTHUMG00000086299	21q22.12	runt related transcription factor 1	protein-coding
8600	TNFSF11	CD254|ODF|OPGL|OPTB2|RANKL|TNLG6B|TRANCE|hRANKL2|sOdf	MIM:602642|HGNC:HGNC:11926|Ensembl:ENSG00000120659|Vega:OTTHUMG00000016807	13q14.11	TNF superfamily member 11	protein-coding
8553	BHLHE40	BHLHB2|Clast5|DEC1|HLHB2|SHARP-2|SHARP2|STRA13|Stra14	MIM:604256|HGNC:HGNC:1046|Ensembl:ENSG00000134107|Vega:OTTHUMG00000119035	3p26.1	basic helix-loop-helix family member e40	protein-coding
8549	LGR5	FEX|GPR49|GPR67|GRP49|HG38	MIM:606667|HGNC:HGNC:4504|Ensembl:ENSG00000139292|Vega:OTTHUMG00000169543	12q21.1	leucine rich repeat containing G protein-coupled receptor 5	protein-coding
84868	HAVCR2	CD366|HAVcr-2|KIM-3|TIM3|TIMD-3|TIMD3|Tim-3	MIM:606652|HGNC:HGNC:18437|Ensembl:ENSG00000135077|Vega:OTTHUMG00000130249	5q33.3	hepatitis A virus cellular receptor 2	protein-coding
84632	AFAP1L2	CTB-1144G6.4|KIAA1914|XB130	MIM:612420|HGNC:HGNC:25901|Ensembl:ENSG00000169129|Vega:OTTHUMG00000019086	10q25.3	actin filament associated protein 1 like 2	protein-coding
8445	DYRK2	-	MIM:603496|HGNC:HGNC:3093|Ensembl:ENSG00000127334|Vega:OTTHUMG00000169089	12q15	dual specificity tyrosine phosphorylation regulated kinase 2	protein-coding
83394	PITPNM3	ACKR6|CORD5|NIR1|RDGBA3	MIM:608921|HGNC:HGNC:21043|Ensembl:ENSG00000091622|Vega:OTTHUMG00000102039	17p13.2-p13.1	PITPNM family member 3	protein-coding
8313	AXIN2	AXIL|ODCRCS	MIM:604025|HGNC:HGNC:904|Ensembl:ENSG00000168646|Vega:OTTHUMG00000179353	17q24.1	axin 2	protein-coding
8312	AXIN1	AXIN|PPP1R49	MIM:603816|HGNC:HGNC:903|Ensembl:ENSG00000103126|Vega:OTTHUMG00000064930	16p13.3	axin 1	protein-coding
8202	NCOA3	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	MIM:601937|HGNC:HGNC:7670|Ensembl:ENSG00000124151|Vega:OTTHUMG00000033061	20q13.12	nuclear receptor coactivator 3	protein-coding
81	ACTN4	ACTININ-4|FSGS|FSGS1	MIM:604638|HGNC:HGNC:166|Ensembl:ENSG00000130402|Vega:OTTHUMG00000137382	19q13.2	actinin alpha 4	protein-coding
80004	ESRP2	RBM35B	MIM:612960|HGNC:HGNC:26152|Ensembl:ENSG00000103067|Vega:OTTHUMG00000137557	16q22.1	epithelial splicing regulatory protein 2	protein-coding
79834	PEAK1	SGK269	MIM:614248|HGNC:HGNC:29431|Ensembl:ENSG00000173517|Vega:OTTHUMG00000172618	15q24.3	pseudopodium enriched atypical kinase 1	protein-coding
768	CA9	CAIX|MN	MIM:603179|HGNC:HGNC:1383|Ensembl:ENSG00000107159|Vega:OTTHUMG00000021029	9p13.3	carbonic anhydrase 9	protein-coding
7534	YWHAZ	14-3-3-zeta|HEL-S-3|HEL-S-93|HEL4|KCIP-1|YWHAD	MIM:601288|HGNC:HGNC:12855|Ensembl:ENSG00000164924|Vega:OTTHUMG00000134291	8q22.3	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	protein-coding
7403	KDM6A	KABUK2|UTX|bA386N14.2	MIM:300128|HGNC:HGNC:12637|Ensembl:ENSG00000147050|Vega:OTTHUMG00000021402	Xp11.3	lysine demethylase 6A	protein-coding
7286	TUFT1	-	MIM:600087|HGNC:HGNC:12422|Ensembl:ENSG00000143367|Vega:OTTHUMG00000012536	1q21.3	tuftelin 1	protein-coding
7162	TPBG	5T4|5T4AG|M6P1|WAIF1	MIM:190920|HGNC:HGNC:12004|Ensembl:ENSG00000146242|Vega:OTTHUMG00000015103	6q14.1	trophoblast glycoprotein	protein-coding
7159	TP53BP2	53BP2|ASPP2|BBP|P53BP2|PPP1R13A	MIM:602143|HGNC:HGNC:12000|Ensembl:ENSG00000143514|Vega:OTTHUMG00000037379	1q41	tumor protein p53 binding protein 2	protein-coding
7088	TLE1	ESG|ESG1|GRG1	MIM:600189|HGNC:HGNC:11837|Ensembl:ENSG00000196781|Vega:OTTHUMG00000021008	9q21.32	transducin like enhancer of split 1	protein-coding
7076	TIMP1	CLGI|EPA|EPO|HCI|TIMP|TIMP-1	MIM:305370|HGNC:HGNC:11820|Ensembl:ENSG00000102265|Vega:OTTHUMG00000021447	Xp11.3	TIMP metallopeptidase inhibitor 1	protein-coding
7074	TIAM1	TIAM-1	MIM:600687|HGNC:HGNC:11805|Ensembl:ENSG00000156299|Vega:OTTHUMG00000084869	21q22.11	T-cell lymphoma invasion and metastasis 1	protein-coding
7041	TGFB1I1	ARA55|HIC-5|HIC5|TSC-5	MIM:602353|HGNC:HGNC:11767|Ensembl:ENSG00000140682|Vega:OTTHUMG00000132467	16p11.2	transforming growth factor beta 1 induced transcript 1	protein-coding
7003	TEAD1	AA|NTEF-1|REF1|TCF-13|TCF13|TEAD-1|TEF-1	MIM:189967|HGNC:HGNC:11714|Ensembl:ENSG00000187079|Vega:OTTHUMG00000165878	11p15.3	TEA domain transcription factor 1	protein-coding
6943	TCF21	POD1|bHLHa23	MIM:603306|HGNC:HGNC:11632|Ensembl:ENSG00000118526|Vega:OTTHUMG00000015608	6q23.2	transcription factor 21	protein-coding
693201	MIR616	MIRN616|hsa-mir-616	MIM:614489|HGNC:HGNC:32872|Ensembl:ENSG00000208028|miRBase:MI0003629	12q13.3	microRNA 616	ncRNA
693197	MIR612	MIRN612|hsa-mir-612	HGNC:HGNC:32868|Ensembl:ENSG00000283791|miRBase:MI0003625	11q13.1	microRNA 612	ncRNA
6885	MAP3K7	CSCF|FMD2|MEKK7|TAK1|TGF1a	MIM:602614|HGNC:HGNC:6859|Ensembl:ENSG00000135341|Vega:OTTHUMG00000015217	6q15	mitogen-activated protein kinase kinase kinase 7	protein-coding
6777	STAT5B	STAT5	MIM:604260|HGNC:HGNC:11367|Ensembl:ENSG00000173757|Vega:OTTHUMG00000150724	17q21.2	signal transducer and activator of transcription 5B	protein-coding
6776	STAT5A	MGF|STAT5	MIM:601511|HGNC:HGNC:11366|Ensembl:ENSG00000126561|Vega:OTTHUMG00000150725	17q21.2	signal transducer and activator of transcription 5A	protein-coding
