gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cells	DC	EVT_1	EVT_2	Endo_F	Endo_L	Endo_M	GC	Granulocytes	HOFB	ILC3	M3	MO	NK	PV	Plasma	SCT	T_cells	VCT	VCT_CCC	VCT_fusing	VCT_p	dDC	dEpi_lumenal	dEpi_secretory	dM1	dM2	dNK1	dNK2	dNK3	dS1	dS2	dS3	dT_cells	dT_regs	eEVT	fF1	fF2	iEVT	uSMC
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS01E56069F	0.015	0.023	0.001	0.004	0.018	0.025	0.025	0.0	0.053	0.06	0.005	0.022	0.035	0.006	0.053	0.064	0.004	0.011	0.008	0.006	0.005	0.007	0.109	0.006	0.016	0.052	0.114	0.008	0.013	0.006	0.064	0.049	0.043	0.013	0.021	0.0	0.346	0.058	0.01	0.029
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0AF09AF14	0.015	0.023	0.001	0.004	0.018	0.025	0.025	0.0	0.053	0.06	0.005	0.022	0.035	0.006	0.053	0.064	0.004	0.011	0.008	0.006	0.005	0.007	0.109	0.006	0.016	0.052	0.114	0.008	0.013	0.006	0.064	0.049	0.043	0.013	0.021	0.0	0.346	0.058	0.01	0.029
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0B92EA5EA	0.015	0.023	0.001	0.004	0.018	0.025	0.025	0.0	0.053	0.06	0.005	0.022	0.035	0.006	0.053	0.064	0.004	0.011	0.008	0.006	0.005	0.007	0.109	0.006	0.016	0.052	0.114	0.008	0.013	0.006	0.064	0.049	0.043	0.013	0.021	0.0	0.346	0.058	0.01	0.029
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0F53060BB	0.015	0.023	0.001	0.004	0.018	0.025	0.025	0.0	0.053	0.06	0.005	0.022	0.035	0.006	0.053	0.064	0.004	0.011	0.008	0.006	0.005	0.007	0.109	0.006	0.016	0.052	0.114	0.008	0.013	0.006	0.064	0.049	0.043	0.013	0.021	0.0	0.346	0.058	0.01	0.029
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0B077728E	0.015	0.023	0.001	0.004	0.018	0.025	0.025	0.0	0.053	0.06	0.005	0.022	0.035	0.006	0.053	0.064	0.004	0.011	0.008	0.006	0.005	0.007	0.109	0.006	0.016	0.052	0.114	0.008	0.013	0.006	0.064	0.049	0.043	0.013	0.021	0.0	0.346	0.058	0.01	0.029
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS029389B57	0.015	0.023	0.001	0.004	0.018	0.025	0.025	0.0	0.053	0.06	0.005	0.022	0.035	0.006	0.053	0.064	0.004	0.011	0.008	0.006	0.005	0.007	0.109	0.006	0.016	0.052	0.114	0.008	0.013	0.006	0.064	0.049	0.043	0.013	0.021	0.0	0.346	0.058	0.01	0.029
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS01E9D00D4	0.015	0.023	0.001	0.004	0.018	0.025	0.025	0.0	0.053	0.06	0.005	0.022	0.035	0.006	0.053	0.064	0.004	0.011	0.008	0.006	0.005	0.007	0.109	0.006	0.016	0.052	0.114	0.008	0.013	0.006	0.064	0.049	0.043	0.013	0.021	0.0	0.346	0.058	0.01	0.029
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS06AA33194	0.015	0.023	0.001	0.004	0.018	0.025	0.025	0.0	0.053	0.06	0.005	0.022	0.035	0.006	0.053	0.064	0.004	0.011	0.008	0.006	0.005	0.007	0.109	0.006	0.016	0.052	0.114	0.008	0.013	0.006	0.064	0.049	0.043	0.013	0.021	0.0	0.346	0.058	0.01	0.029
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS00F8E8AC0	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS090834433	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0BDA45927	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0F06108D6	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0BF2D6216	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0C5CBB4DA	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS02B24ACED	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS05594052B	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS081ABF0EB	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS096783D6D	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS067ECB5FE	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS039773901	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS096856900	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0CBF40196	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS02912E1C3	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0EA080D52	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0035C50D6	0.024	0.019	0.051	0.07	0.054	0.052	0.052	0.0	0.137	0.094	0.026	0.016	0.012	0.02	0.173	0.064	0.033	0.011	0.123	0.135	0.035	0.157	0.182	0.175	0.097	0.022	0.054	0.018	0.017	0.023	0.13	0.141	0.117	0.03	0.036	0.0	0.087	0.122	0.058	0.216
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS055AB879D	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS06CF549E0	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0A56528EB	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS01BA77CE7	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0349DDD33	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS07E36B000	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0F73F8631	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS04D0A3F59	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS05EBA46D7	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0149222E6	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0B3531507	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS096FD79C8	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0AF64B48C	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS09B0E9421	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0B9EC402E	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0B6EFDA1A	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0EBC9A333	0.002	0.0	0.007	0.01	0.264	0.174	0.543	0.0	0.0	0.008	0.023	0.007	0.005	0.007	0.126	0.009	0.006	0.0	0.004	0.004	0.003	0.006	0.004	0.008	0.019	0.008	0.018	0.01	0.008	0.011	0.051	0.098	0.034	0.007	0.002	0.09	0.154	0.032	0.008	0.053
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0AC9A92AD	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS016BAF864	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS07277CD50	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS00DEA8C12	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0444041A5	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0557988CE	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS06703B08B	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0725C2185	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0FF5F9AAF	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS092A988FB	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0C2B25B68	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0854644B2	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS05C76711D	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS084F0F988	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS081EBC919	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0CC6D5AFF	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS01E2B7EF5	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0CCD8150B	0.016	0.023	0.022	0.033	0.024	0.025	0.029	0.0	0.041	0.09	0.018	0.022	0.028	0.006	0.023	0.018	0.022	0.007	0.16	0.144	0.03	0.152	0.056	0.02	0.064	0.047	0.079	0.016	0.017	0.01	0.018	0.015	0.003	0.006	0.023	0.0	0.033	0.036	0.036	0.055
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS062754C53	0.024	0.023	0.079	0.147	0.554	0.55	0.701	0.0	0.079	0.046	0.055	0.02	0.024	0.02	0.095	0.018	0.147	0.011	0.212	0.144	0.065	0.232	0.081	0.368	0.422	0.047	0.071	0.049	0.043	0.033	0.088	0.096	0.013	0.024	0.027	0.087	0.194	0.169	0.167	0.204
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS0382E5A36	0.024	0.023	0.079	0.147	0.554	0.55	0.701	0.0	0.079	0.046	0.055	0.02	0.024	0.02	0.095	0.018	0.147	0.011	0.212	0.144	0.065	0.232	0.081	0.368	0.422	0.047	0.071	0.049	0.043	0.033	0.088	0.096	0.013	0.024	0.027	0.087	0.194	0.169	0.167	0.204
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS0C9174A37	0.024	0.023	0.079	0.147	0.554	0.55	0.701	0.0	0.079	0.046	0.055	0.02	0.024	0.02	0.095	0.018	0.147	0.011	0.212	0.144	0.065	0.232	0.081	0.368	0.422	0.047	0.071	0.049	0.043	0.033	0.088	0.096	0.013	0.024	0.027	0.087	0.194	0.169	0.167	0.204
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS01521EE2B	0.024	0.023	0.079	0.147	0.554	0.55	0.701	0.0	0.079	0.046	0.055	0.02	0.024	0.02	0.095	0.018	0.147	0.011	0.212	0.144	0.065	0.232	0.081	0.368	0.422	0.047	0.071	0.049	0.043	0.033	0.088	0.096	0.013	0.024	0.027	0.087	0.194	0.169	0.167	0.204
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS0A2518705	0.024	0.023	0.079	0.147	0.554	0.55	0.701	0.0	0.079	0.046	0.055	0.02	0.024	0.02	0.095	0.018	0.147	0.011	0.212	0.144	0.065	0.232	0.081	0.368	0.422	0.047	0.071	0.049	0.043	0.033	0.088	0.096	0.013	0.024	0.027	0.087	0.194	0.169	0.167	0.204
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS00F608BF1	0.024	0.023	0.079	0.147	0.554	0.55	0.701	0.0	0.079	0.046	0.055	0.02	0.024	0.02	0.095	0.018	0.147	0.011	0.212	0.144	0.065	0.232	0.081	0.368	0.422	0.047	0.071	0.049	0.043	0.033	0.088	0.096	0.013	0.024	0.027	0.087	0.194	0.169	0.167	0.204
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS06F5B58EC	0.024	0.023	0.079	0.147	0.554	0.55	0.701	0.0	0.079	0.046	0.055	0.02	0.024	0.02	0.095	0.018	0.147	0.011	0.212	0.144	0.065	0.232	0.081	0.368	0.422	0.047	0.071	0.049	0.043	0.033	0.088	0.096	0.013	0.024	0.027	0.087	0.194	0.169	0.167	0.204
